VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-03-10 07:23:34,2016-03-10 07:35:07,1,2.1,-73.99156951904298,40.726856231689446,1,N,-73.9923095703125,40.74920654296875,1,10.0,0.0,0.5,2.16,0.0,0.3,12.96
2,2016-03-10 07:23:48,2016-03-10 08:04:33,1,19.64,-73.97006225585938,40.78410720825195,2,N,-73.78926849365233,40.64228057861328,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
2,2016-03-10 07:24:20,2016-03-10 07:32:10,1,1.39,-73.9703598022461,40.76198959350586,1,N,-73.957763671875,40.779239654541016,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
2,2016-03-10 07:24:31,2016-03-10 07:39:08,1,2.73,-73.99308013916014,40.727989196777344,1,N,-73.97244262695312,40.7627410888672,1,12.0,0.0,0.5,2.0,0.0,0.3,14.8
2,2016-03-10 07:24:44,2016-03-10 07:34:57,5,1.75,-73.98020935058595,40.77051162719727,1,N,-73.96351623535155,40.75772857666016,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8
2,2016-03-10 07:24:47,2016-03-10 07:31:25,1,2.18,-73.95243835449219,40.77213287353516,1,N,-73.97097778320312,40.755008697509766,1,8.5,0.0,0.5,1.0,0.0,0.3,10.3
2,2016-03-10 07:25:07,2016-03-10 07:40:31,5,3.07,-73.95037841796875,40.78564834594727,1,N,-73.98207092285155,40.7566795349121,1,13.0,0.0,0.5,2.76,0.0,0.3,16.56
2,2016-03-10 07:26:38,2016-03-10 07:34:47,5,0.76,-73.98998260498048,40.75669097900391,1,N,-73.97933197021484,40.75611877441406,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36
2,2016-03-10 07:26:41,2016-03-10 07:35:22,3,1.91,-73.98406219482422,40.729373931884766,1,N,-73.9746551513672,40.752056121826165,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
2,2016-03-10 07:28:10,2016-03-10 07:39:55,1,1.68,-73.95803833007811,40.76618957519531,1,N,-73.97794342041014,40.75239181518555,2,9.5,0.0,0.5,0.0,0.0,0.3,10.3
2,2016-03-10 07:29:45,2016-03-10 07:38:45,1,1.48,-73.98439025878906,40.78007125854492,1,N,-73.98436737060547,40.78001022338867,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
2,2016-03-10 07:29:58,2016-03-10 07:45:45,1,2.18,-73.97830963134764,40.75255584716797,1,N,-74.00012969970702,40.73478698730469,1,12.0,0.0,0.5,1.28,0.0,0.3,14.08
2,2016-03-10 07:30:28,2016-03-10 07:43:26,2,3.07,-73.98222351074217,40.75168991088867,1,N,-74.01016998291014,40.71949005126953,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8
2,2016-03-10 07:31:08,2016-03-10 07:38:08,1,1.58,-73.99143981933594,40.74977111816406,1,N,-73.97486877441406,40.76321029663086,1,7.5,0.0,0.5,2.0,0.0,0.3,10.3
2,2016-03-10 07:31:55,2016-03-10 07:43:23,1,3.96,-73.93246459960938,40.8048210144043,1,N,-73.93929290771484,40.84089279174805,2,14.5,0.0,0.5,0.0,0.0,0.3,15.3
2,2016-03-10 07:32:02,2016-03-10 07:39:08,3,1.72,-73.98877716064453,40.73720932006836,1,N,-73.97515106201173,40.755950927734375,1,8.0,0.0,0.5,1.0,0.0,0.3,9.8
2,2016-03-10 07:32:49,2016-03-10 08:00:04,2,11.24,-73.97925567626953,40.76210021972656,1,N,-73.86117553710938,40.76792907714844,1,33.0,0.0,0.5,13.27,5.54,0.3,52.61
2,2016-03-10 07:33:31,2016-03-10 07:39:35,5,0.73,-73.98318481445312,40.75624847412109,1,N,-73.97823333740233,40.76487350463867,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
2,2016-03-10 07:33:53,2016-03-10 08:07:17,1,11.58,-73.86273193359375,40.7690315246582,1,N,-73.97470092773438,40.750370025634766,1,36.0,0.0,0.5,10.58,5.54,0.3,52.92
2,2016-03-10 07:34:44,2016-03-10 07:46:04,1,2.62,-73.98211669921875,40.72787857055664,1,N,-73.97592163085938,40.75722885131836,1,10.5,0.0,0.5,0.0,0.0,0.3,11.3
2,2016-03-10 07:34:57,2016-03-10 07:41:38,1,0.98,-73.98109436035155,40.76930236816406,1,N,-73.98146820068358,40.778568267822266,1,6.5,0.0,0.5,1.0,0.0,0.3,8.3
2,2016-03-10 07:35:38,2016-03-10 07:38:31,4,0.37,-73.94635009765625,40.777168273925774,1,N,-73.94979858398438,40.77227020263672,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
2,2016-03-10 07:35:53,2016-03-10 07:54:17,2,8.26,-73.94461059570312,40.77996063232422,1,N,-74.01477813720702,40.711231231689446,1,25.5,0.0,0.5,2.89,0.0,0.3,29.19
2,2016-03-10 07:35:57,2016-03-10 07:38:17,6,0.43,-73.98931884765625,40.768169403076165,1,N,-73.9832992553711,40.76747894287109,1,3.5,0.0,0.5,0.86,0.0,0.3,5.16
2,2016-03-10 07:36:11,2016-03-10 07:43:51,1,1.24,-73.9781951904297,40.75263595581056,1,N,-73.99292755126953,40.74786376953125,1,7.0,0.0,0.5,1.95,0.0,0.3,9.75
2,2016-03-10 07:36:19,2016-03-10 07:44:10,1,1.32,-73.99040222167967,40.756309509277344,1,N,-73.97270965576173,40.75624084472656,1,7.5,0.0,0.5,1.0,0.0,0.3,9.3
2,2016-03-10 07:37:08,2016-03-10 07:41:23,1,0.92,-73.9635009765625,40.771289825439446,1,N,-73.95700073242188,40.783199310302734,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
